"Production of cassava by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";2211.5;2067.2;2403.4;1773.4;1800.5;1986.3;3509.2;4438.0;5308.9;5820.7;6716.2;7782.5;8192.8;9309.9;8530.5;8595.6;9897.9;9735.4;9757.3;10209.9;10673.7
"Ha Noi";1.8;2.0;1.7;1.4;2.5;2.8;2.6;2.1;2.0;1.9;1.8;1.4;1.8;34.2;44.2;38.4;38.1;40.2;40.6;37.8;34.9
"Ha Giang";26.5;23.0;27.3;24.4;24.0;21.2;24.7;21.1;19.9;19.2;19.8;19.4;19.4;31.1;32.9;34.2;4.7;41.5;40.3;39.5;36.3
"Cao Bang";14.5;9.2;13.1;12.2;11.7;13.0;13.0;12.8;14.4;20.6;21.6;19.4;20.7;21.6;20.6;22.7;33.6;32.2;40.8;45.1;59.9
"Bac Kan";14.6;10.1;18.7;22.0;26.7;26.8;26.6;34.5;31.3;29.9;21.2;19.4;21.9;24.0;21.1;22.6;27.8;27.0;33.2;31.3;32.5
"Tuyen Quang";38.5;31.8;53.5;30.0;38.8;38.2;36.0;38.7;40.2;40.5;44.4;68.8;65.0;83.0;55.2;60.7;76.0;62.6;55.5;54.4;60.6
"Lao Cai";48.8;54.1;71.7;48.0;61.3;64.1;65.7;63.7;67.8;56.7;63.0;70.1;79.6;98.8;97.8;89.6;113.5;115.1;114.9;114.3;114.3
"Yen Bai";74.2;64.3;87.6;70.0;77.3;68.5;76.2;118.6;157.9;206.9;227.4;250.6;272.5;294.5;246.3;259.6;283.0;304.1;325.0;317.0;305.0
"Thai nguyen";19.0;13.1;27.1;23.2;23.9;31.4;34.3;33.3;38.9;40.6;35.0;39.9;37.6;43.3;56.4;56.9;52.8;55.8;55.7;54.6;50.0
"Lang Son";28.5;41.3;38.0;29.6;29.9;37.0;35.0;37.2;36.1;34.3;40.7;42.3;48.9;44.4;45.9;50.1;58.5;61.8;56.5;51.8;47.3
"Bac Giang";58.0;49.5;45.7;40.8;30.4;32.2;33.3;32.0;28.7;33.0;36.6;50.8;54.1;67.7;62.9;70.1;80.4;81.1;82.3;82.9;71.5
"Phu Tho";72.9;54.1;82.2;71.0;64.1;80.8;92.5;89.7;88.3;91.6;88.8;90.2;88.6;87.9;87.9;96.3;105.0;122.0;116.6;116.5;115.0
"Dien Bien";..;..;..;..;..;..;..;..;..;48.8;51.8;52.9;54.6;55.4;54.3;54.7;54.6;54.4;57.3;57.0;61.7
"Lai Chau";56.6;61.1;59.5;57.2;62.5;63.0;51.8;71.1;69.0;43.5;42.1;39.6;48.9;42.9;53.7;46.7;37.0;35.6;36.8;36.5;37.5
"Son La";100.4;118.0;122.7;125.9;116.0;128.5;142.8;159.1;183.0;199.1;192.3;201.0;210.6;270.4;267.9;295.1;351.5;352.6;345.9;371.3;359.5
"Hoa Binh";53.8;60.9;60.5;59.1;61.5;73.8;65.1;66.4;85.3;97.5;102.1;106.4;109.9;144.9;117.2;123.8;146.6;145.7;146.3;156.7;149.5
"Thanh Hoa";90.1;117.7;89.0;68.6;65.1;78.5;94.9;111.4;129.6;124.3;126.0;142.8;160.8;210.6;195.4;172.6;203.1;218.9;215.9;259.7;261.9
"Nghe An";50.2;66.3;43.6;63.1;66.9;68.5;61.6;78.4;149.9;198.3;248.2;313.4;324.8;374.1;377.2;382.2;458.6;429.1;424.5;379.7;410.0
"Ha Tinh";13.6;13.7;18.1;14.1;16.9;15.6;19.0;20.0;23.1;33.0;36.6;38.9;32.8;49.8;50.8;39.9;54.5;53.2;47.3;58.6;60.7
"Quang Binh";7.0;15.0;30.2;16.9;28.5;27.9;26.9;27.5;37.8;56.1;74.6;90.4;95.0;96.1;92.3;94.6;96.2;97.3;98.8;108.2;114.6
"Quang Tri";31.3;32.3;37.2;20.6;29.0;36.8;27.4;40.8;67.6;88.1;121.8;165.3;170.5;171.0;163.8;152.6;171.9;168.6;176.4;192.3;208.8
"Thua Thien Hue";39.5;38.2;37.1;32.5;16.3;27.9;28.3;36.6;56.3;68.4;102.6;103.9;114.0;118.0;129.4;135.1;149.3;140.2;132.2;128.7;131.3
"Quang Nam";110.1;96.7;119.3;106.5;95.8;105.0;126.7;160.5;163.2;182.8;180.2;191.2;199.3;199.8;195.9;189.7;214.6;217.0;210.0;214.1;229.2
"Quang Ngai";71.8;72.5;78.7;39.1;53.9;60.7;119.7;158.4;200.5;245.7;268.1;310.8;322.2;350.4;286.7;332.7;367.3;391.1;375.7;354.1;376.4
"Binh Dinh";61.3;66.0;81.3;96.5;78.5;88.6;103.4;121.6;151.3;186.1;212.2;239.0;253.7;295.9;314.0;296.0;317.8;319.5;333.6;329.8;335.5
"Phu Yen";30.5;42.8;26.4;18.2;17.6;24.3;34.6;46.6;76.2;95.7;173.2;155.2;184.7;247.9;154.8;176.7;280.0;305.7;378.5;354.0;397.2
"Khanh Hoa";52.5;55.4;54.8;38.0;43.3;46.3;56.0;56.4;73.7;72.0;81.9;77.7;86.3;111.7;107.6;111.4;120.6;120.2;121.2;115.3;107.8
"Binh Thuan";35.5;40.0;52.7;43.8;57.3;52.2;66.0;126.2;165.1;191.0;216.9;308.5;383.1;467.4;434.5;481.7;584.5;511.4;501.2;521.3;510.8
"Kon Tum";128.9;123.5;113.8;96.0;114.1;143.3;155.8;240.2;299.7;317.2;372.3;448.1;507.0;553.1;543.0;563.4;629.0;600.0;590.0;573.3;590.2
"Gia Lai";83.6;78.7;125.5;114.7;130.9;157.1;163.1;199.6;260.1;313.0;383.4;605.7;679.9;821.0;816.2;833.3;1016.7;985.0;960.2;1114.2;1180.9
"Dak Lak";49.5;48.6;46.6;37.0;33.2;37.2;50.5;266.4;374.9;202.8;296.2;460.4;421.0;509.8;440.1;479.0;610.0;472.8;571.3;617.6;666.5
"Dak Nong";..;..;..;..;..;..;..;..;..;216.9;381.0;526.4;454.6;440.8;305.7;280.6;326.2;395.1;347.5;315.4;290.7
"Lam Dong";..;..;..;..;..;..;..;..;..;..;13.7;..;..;..;..;48.7;80.2;..;..;..;..
"Binh Phuoc";65.5;29.1;15.6;2.7;11.1;13.9;370.6;542.4;534.9;528.0;493.8;505.9;553.9;564.5;43.8;464.2;491.3;470.0;440.0;431.7;410.9
"Tay Ninh";230.9;154.0;307.3;43.0;7.9;9.6;538.7;682.3;800.1;898.7;1071.8;1120.7;1125.9;1248.6;469.4;1150.7;1325.9;1317.3;1347.0;1603.4;1868.3
"Binh Duong";44.0;19.6;51.4;12.6;10.7;12.1;105.7;121.9;128.5;133.5;117.8;124.7;120.0;119.9;1236.1;117.7;114.4;112.3;74.7;82.6;86.7
"Dong Nai";125.3;119.4;82.2;63.0;61.5;63.8;312.5;306.3;341.7;382.7;442.2;425.0;481.0;563.7;118.5;361.6;388.9;366.8;373.6;385.2;399.2
"Ba Ria - Vung Tau";90.1;39.3;81.1;71.7;53.8;53.0;111.8;83.5;137.2;135.7;144.0;150.2;152.9;187.2;382.0;212.5;231.6;212.0;205.6;208.5;217.5
"Long An";14.4;9.7;6.7;6.0;6.0;8.1;4.4;3.7;11.0;5.6;7.1;6.1;8.6;23.1;194.9;8.7;15.4;20.9;23.2;21.6;17.9
"Ben Tre";8.5;8.5;5.1;5.5;5.0;5.2;4.7;4.9;4.4;3.7;3.7;2.1;2.5;2.2;15.0;..;..;..;..;..;..
"Vinh Long";5.2;3.5;2.8;1.8;3.3;3.1;3.5;2.8;2.1;1.8;2.4;3.0;3.0;2.8;3.1;3.1;3.2;3.2;2.7;2.9;3.0
"An Giang";11.6;18.4;14.9;9.0;23.5;8.1;72.7;65.6;88.1;2.8;14.5;18.2;16.1;23.9;13.0;21.6;25.2;27.3;18.0;19.4;15.4
"Kien Giang";1.3;1.5;3.0;3.5;7.7;5.3;3.8;14.6;9.1;8.6;8.5;6.5;11.3;19.4;18.9;15.4;3.2;12.3;15.6;20.7;25.8
